City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mataura,-46.1927,168.8643,72.48,59,90,5.86,NZ,1643599874
1,mahebourg,-20.4081,57.7,81.25,94,75,9.22,MU,1643599605
2,bluff,-46.6,168.3333,72.81,83,95,2.13,NZ,1643599880
3,constanza,47.6603,9.1758,38.53,88,100,1.01,DE,1643599883
4,vaini,-21.2,-175.2,81.54,69,100,14.74,TO,1643599849
5,new norfolk,-42.7826,147.0587,86.88,27,0,1.99,AU,1643599887
6,georgetown,5.4112,100.3354,87.73,72,20,3.44,MY,1643599635
7,rikitea,-23.1203,-134.9692,77.36,64,100,5.88,PF,1643599847
8,husavik,66.0449,-17.3389,22.91,66,90,24.76,IS,1643599896
9,puerto ayora,-0.7393,-90.3518,73.24,84,100,5.73,EC,1643599898
10,rudnichnyy,59.617,52.4703,-1.75,100,80,2.98,RU,1643599900
11,punta arenas,-53.15,-70.9167,48.31,66,40,13.8,CL,1643599783
12,liverpool,53.4106,-2.9779,44.71,81,75,18.01,GB,1643599717
13,ushuaia,-54.8,-68.3,44.26,76,40,17.27,AR,1643599440
14,werda,-25.2667,23.2833,67.91,85,100,14.9,BW,1643599911
15,saint george,37.1041,-113.5841,52.36,29,0,1.01,US,1643599740
16,manoel urbano,-8.8389,-69.2597,72.3,98,100,0.6,BR,1643599916
17,ostersund,63.1792,14.6357,18.05,100,40,5.75,SE,1643599918
18,hilo,19.7297,-155.09,74.93,71,20,9.22,US,1643599634
19,nanakuli,21.3906,-158.1547,78.75,57,0,8.05,US,1643599922
20,damara,4.9608,18.7035,63.82,25,13,3.62,CF,1643599927
21,arlit,18.7369,7.3853,56.34,17,3,10.58,NE,1643599929
22,tezu,27.9167,96.1667,66.72,31,4,3.94,IN,1643599931
23,kirakira,-10.4544,161.9205,84.56,74,59,7.43,SB,1643599934
24,touros,-5.1989,-35.4608,77.9,82,6,10.04,BR,1643599936
25,hay river,60.8156,-115.7999,-5.82,77,75,8.05,CA,1643599742
26,chokurdakh,70.6333,147.9167,-28.64,99,44,1.57,RU,1643599940
27,lompoc,34.6391,-120.4579,56.1,84,20,4.61,US,1643599942
28,busselton,-33.65,115.3333,77.09,37,99,16.28,AU,1643599742
29,cherskiy,68.75,161.3,-27.87,99,65,0.6,RU,1643599947
30,dikson,73.5069,80.5464,-4.63,94,100,22.28,RU,1643599949
31,dubai,25.2582,55.3047,67.21,77,0,5.75,AE,1643599951
32,barrow,71.2906,-156.7887,-5.78,77,100,9.22,US,1643599903
33,darlawn,24.0167,92.9,53.2,43,0,1.68,IN,1643599956
34,cape town,-33.9258,18.4232,68.11,81,0,1.01,ZA,1643599884
35,edremit,39.5961,27.0244,42.55,70,40,11.5,TR,1643599962
36,terrace bay,48.7834,-87.1,-0.78,87,98,2.46,CA,1643599964
37,upernavik,72.7868,-56.1549,-8.61,98,100,5.14,GL,1643599967
38,socorro,31.6546,-106.3033,53.38,30,0,8.05,US,1643599969
39,rafai,4.95,23.9167,63.1,35,34,2.66,CF,1643599971
40,murgab,37.4966,61.9714,33.67,75,0,6.91,TM,1643599974
41,matara,5.9485,80.5353,82.49,74,16,5.32,LK,1643599976
42,jiayuguan,39.8167,98.3,19.96,33,100,5.93,CN,1643599983
43,mar del plata,-38.0023,-57.5575,64.87,69,100,20.0,AR,1643599750
44,ribeira grande,38.5167,-28.7,59.45,73,54,20.22,PT,1643599776
45,talnakh,69.4865,88.3972,-15.12,92,85,9.35,RU,1643599992
46,loa janan,-0.583,117.095,88.39,59,87,3.24,ID,1643599994
47,uruzgan,32.8333,66.0,36.5,63,0,5.26,AF,1643599996
48,krasnik,50.9236,22.2271,35.69,80,99,20.98,PL,1643599999
49,nanortalik,60.1432,-45.2371,21.18,74,100,22.97,GL,1643600007
50,khatanga,71.9667,102.5,-7.1,99,98,7.49,RU,1643600010
51,komsomolskiy,40.4272,71.7189,29.12,93,100,2.3,UZ,1643600012
52,bhatapara,21.7333,81.9333,63.14,22,1,2.42,IN,1643600014
53,srednekolymsk,67.45,153.6833,-28.03,100,98,0.78,RU,1643599774
54,kropotkin,45.4375,40.5756,30.65,87,100,3.31,RU,1643600019
55,jibuti,11.5,42.5,67.42,72,53,13.13,DJ,1643600021
56,albany,42.6001,-73.9662,10.92,64,26,2.95,US,1643599801
57,saint anthony,45.0205,-93.218,15.69,82,0,1.01,US,1643600027
58,kolda,12.8833,-14.95,70.11,73,0,0.0,SN,1643600030
59,ancud,-41.8697,-73.8203,48.42,79,19,3.36,CL,1643599895
60,luderitz,-26.6481,15.1594,63.32,93,63,7.47,NA,1643600034
61,laguna,38.421,-121.4238,54.32,77,0,0.0,US,1643600036
62,butaritari,3.0707,172.7902,81.77,77,57,19.22,KI,1643600039
63,bengkulu,-3.8004,102.2655,82.29,69,100,3.22,ID,1643600041
64,kinwat,19.6333,78.2,74.73,20,1,0.63,IN,1643600043
65,roma,43.2128,-75.4557,9.84,77,20,0.0,US,1643599763
66,bredasdorp,-34.5322,20.0403,72.28,86,100,10.51,ZA,1643600048
67,avarua,-21.2078,-159.775,78.85,78,100,8.05,CK,1643600052
68,palmeira,-25.4294,-50.0064,61.63,99,100,2.64,BR,1643600040
69,hobart,-42.8794,147.3294,87.22,52,20,1.01,AU,1643599930
70,binga,-17.6203,27.3414,69.39,93,99,5.3,ZW,1643600058
71,byron bay,-28.65,153.6167,87.91,70,35,8.86,AU,1643600061
72,katsuura,35.1333,140.3,46.51,34,90,10.0,JP,1643600063
73,tasiilaq,65.6145,-37.6368,2.21,61,100,4.03,GL,1643600065
74,tuktoyaktuk,69.4541,-133.0374,-2.2,84,100,21.85,CA,1643600068
75,mackay,-21.15,149.2,90.68,66,40,14.97,AU,1643600070
76,port blair,11.6667,92.75,77.04,69,40,4.61,IN,1643600072
77,pitimbu,-7.4706,-34.8086,79.39,77,8,10.27,BR,1643600075
78,namibe,-15.1961,12.1522,69.82,77,92,4.5,AO,1643600077
79,saldanha,-33.0117,17.9442,62.65,86,100,6.29,ZA,1643600079
80,castro,-24.7911,-50.0119,62.58,99,100,6.53,BR,1643600082
81,rorvik,64.8621,11.2373,33.57,65,100,6.78,NO,1643600084
82,tuatapere,-46.1333,167.6833,72.82,73,95,8.16,NZ,1643600086
83,mount gambier,-37.8333,140.7667,87.71,27,2,8.05,AU,1643599957
84,hermanus,-34.4187,19.2345,72.81,80,100,13.29,ZA,1643600091
85,turukhansk,65.8167,87.9833,-0.85,93,99,11.92,RU,1643600093
86,half moon bay,37.4636,-122.4286,53.96,86,75,5.75,US,1643599944
87,dalaba,10.7,-12.25,63.09,22,3,3.87,GN,1643600097
88,maxixe,-23.8597,35.3472,69.62,94,20,0.0,MZ,1643600099
89,sayyan,15.1718,44.3244,49.53,39,35,0.54,YE,1643600102
90,kapaa,22.0752,-159.319,78.78,67,0,8.05,US,1643599845
91,kutum,14.2,24.6667,49.17,21,1,10.98,SD,1643600106
92,sayansk,54.1088,102.1648,1.22,91,100,2.17,RU,1643600108
93,pingxiang,27.6167,113.85,39.33,96,100,2.62,CN,1643600111
94,kahului,20.8947,-156.47,80.62,62,20,16.11,US,1643599858
95,ambon,-3.6954,128.1814,91.54,52,40,16.11,ID,1643600115
96,sibolga,1.7427,98.7792,81.63,74,99,1.3,ID,1643600117
97,luorong,24.4058,109.6086,43.25,82,100,9.35,CN,1643600122
98,hithadhoo,-0.6,73.0833,82.17,70,5,10.65,MV,1643600047
99,gat,31.61,34.7642,47.39,100,97,6.35,IL,1643600126
100,rincon,32.296,-81.2354,50.18,45,0,10.36,US,1643600128
101,minab,27.1467,57.0801,54.9,76,1,4.85,IR,1643600131
102,mumford,5.2618,-0.759,76.96,75,100,0.76,GH,1643600133
103,juneau,58.3019,-134.4197,33.8,75,75,6.91,US,1643599986
104,yellowknife,62.456,-114.3525,-9.58,83,75,10.36,CA,1643600139
